timestamp,mote_id,has_fault_type,temperature
"2015-08-11T02:04:27+0200","santander188","0","19.35"
"2015-08-11T02:48:55+0200","santander188","0","19.61"
"2015-08-11T02:53:37+0200","santander188","0","19.09"
"2015-08-11T03:08:46+0200","santander188","0","18.32"
"2015-08-11T03:17:04+0200","santander188","0","18.45"
"2015-08-11T03:18:43+0200","santander188","0","18.64"
"2015-08-11T03:38:45+0200","santander188","0","18.45"
"2015-08-11T03:43:37+0200","santander188","0","18.64"
"2015-08-11T03:48:29+0200","santander188","0","18.45"
"2015-08-11T03:53:29+0200","santander188","0","18.58"
"2015-08-11T04:02:29+0200","santander188","0","18.32"
"2015-08-11T04:03:35+0200","santander188","0","18.38"
"2015-08-11T04:09:55+0200","santander188","0","18.25"
"2015-08-11T04:13:22+0200","santander188","0","18.58"
"2015-08-11T04:43:12+0200","santander188","0","18.25"
"2015-08-11T04:48:04+0200","santander188","0","18.38"
"2015-08-11T05:49:17+0200","santander188","0","18.38"
"2015-08-11T06:02:13+0200","santander188","0","18.45"
"2015-08-11T06:22:28+0200","santander188","0","18.19"
"2015-08-11T07:17:18+0200","santander188","0","18.38"
"2015-08-11T07:22:11+0200","santander188","0","18.51"
"2015-08-11T07:27:10+0200","santander188","0","18.45"
"2015-08-11T07:38:25+0200","santander188","0","18.7"
"2015-08-11T07:42:09+0200","santander188","0","18.58"
"2015-08-11T07:47:11+0200","santander188","0","18.7"
"2015-08-11T07:52:08+0200","santander188","0","18.7"
"2015-08-11T07:57:16+0200","santander188","0","18.83"
"2015-08-11T08:02:06+0200","santander188","0","18.96"
"2015-08-11T08:32:12+0200","santander188","0","19.35"
"2015-08-11T08:36:50+0200","santander188","0","19.41"
"2015-08-11T09:02:10+0200","santander188","0","20.32"
"2015-08-11T09:07:23+0200","santander188","0","20.32"
"2015-08-11T09:12:34+0200","santander188","0","20.64"
"2015-08-11T09:22:04+0200","santander188","0","20.32"
"2015-08-11T09:25:42+0200","santander188","0","20.38"
"2015-08-11T09:27:04+0200","santander188","0","20.64"
"2015-08-11T09:31:40+0200","santander188","0","20.9"
"2015-08-11T09:40:10+0200","santander188","0","20.64"
"2015-08-11T09:42:20+0200","santander188","0","20.96"
"2015-08-11T09:46:36+0200","santander188","0","20.96"
"2015-08-11T09:51:34+0200","santander188","0","21.29"
"2015-08-11T10:11:28+0200","santander188","0","20.96"
"2015-08-11T10:34:56+0200","santander188","0","21.29"
"2015-08-11T10:36:17+0200","santander188","0","21.48"
"2015-08-11T10:41:15+0200","santander188","0","21.35"
"2015-08-11T10:47:06+0200","santander188","0","21.41"
"2015-08-11T10:51:14+0200","santander188","0","21.67"
"2015-08-11T11:03:33+0200","santander188","0","21.29"
"2015-08-11T11:06:15+0200","santander188","0","21.48"
"2015-08-11T11:11:13+0200","santander188","0","21.8"
"2015-08-11T11:28:25+0200","santander188","0","22.25"
"2015-08-11T12:05:51+0200","santander188","0","22.64"
"2015-08-11T12:10:57+0200","santander188","0","24"
"2015-08-11T12:22:20+0200","santander188","0","24"
"2015-08-11T12:25:42+0200","santander188","0","22.96"
"2015-08-11T12:30:41+0200","santander188","0","23.35"
"2015-08-11T12:35:37+0200","santander188","0","23.29"
"2015-08-11T12:41:50+0200","santander188","0","23.09"
"2015-08-11T14:20:07+0200","santander188","0","24.25"
"2015-08-11T17:46:54+0200","santander188","0","24.32"
"2015-08-11T18:35:40+0200","santander188","0","24.12"
"2015-08-11T18:40:39+0200","santander188","0","24.83"
"2015-08-11T18:52:20+0200","santander188","0","25.67"
"2015-08-11T19:20:27+0200","santander188","0","24.45"
"2015-08-11T19:35:39+0200","santander188","0","22.51"
"2015-08-11T20:10:05+0200","santander188","0","22.51"
"2015-08-11T20:15:02+0200","santander188","0","22.51"
"2015-08-11T20:20:00+0200","santander188","0","22.19"
"2015-08-11T20:24:57+0200","santander188","0","22.58"
"2015-08-11T20:29:55+0200","santander188","0","22.32"
"2015-08-11T20:34:53+0200","santander188","0","22"
"2015-08-11T20:39:51+0200","santander188","0","21.93"
"2015-08-11T20:44:49+0200","santander188","0","21.93"
"2015-08-11T20:49:47+0200","santander188","0","21.8"
"2015-08-11T20:54:44+0200","santander188","0","21.93"
"2015-08-11T20:59:42+0200","santander188","0","21.93"
"2015-08-11T21:04:40+0200","santander188","0","21.87"
"2015-08-11T21:09:38+0200","santander188","0","21.93"
"2015-08-11T21:14:35+0200","santander188","0","21.8"
"2015-08-11T21:19:33+0200","santander188","0","21.74"
"2015-08-11T21:24:31+0200","santander188","0","21.61"
"2015-08-11T21:29:52+0200","santander188","0","21.61"
"2015-08-11T21:34:26+0200","santander188","0","21.61"
"2015-08-11T21:39:30+0200","santander188","0","21.54"
"2015-08-11T21:44:22+0200","santander188","0","21.67"
"2015-08-11T21:49:28+0200","santander188","0","21.61"
"2015-08-11T21:54:19+0200","santander188","0","21.54"
"2015-08-11T21:59:16+0200","santander188","0","21.61"
"2015-08-11T22:04:14+0200","santander188","0","21.61"
"2015-08-11T22:09:11+0200","santander188","0","21.54"
"2015-08-11T22:14:09+0200","santander188","0","21.61"
"2015-08-11T22:19:07+0200","santander188","0","21.41"
"2015-08-11T22:24:05+0200","santander188","0","21.41"
"2015-08-11T22:29:03+0200","santander188","0","21.35"
"2015-08-11T22:34:00+0200","santander188","0","21.41"
"2015-08-11T22:38:58+0200","santander188","0","21.35"
"2015-08-11T22:43:56+0200","santander188","0","21.41"
"2015-08-11T22:48:53+0200","santander188","0","21.29"
"2015-08-11T22:53:51+0200","santander188","0","21.09"
"2015-08-11T22:58:49+0200","santander188","0","21.09"
"2015-08-11T23:03:47+0200","santander188","0","21.09"
"2015-08-11T23:08:45+0200","santander188","0","20.96"
"2015-08-11T23:13:42+0200","santander188","0","21.03"
"2015-08-11T23:18:40+0200","santander188","0","20.96"
"2015-08-11T23:23:38+0200","santander188","0","20.96"
"2015-08-11T23:28:35+0200","santander188","0","21.03"
"2015-08-11T23:33:33+0200","santander188","0","21.22"
"2015-08-11T23:40:05+0200","santander188","0","20.96"
"2015-08-11T23:43:54+0200","santander188","0","21.16"
"2015-08-11T23:48:26+0200","santander188","0","21.03"
"2015-08-11T23:53:26+0200","santander188","0","20.96"
"2015-08-11T23:58:22+0200","santander188","0","20.96"
"2015-08-12T00:03:19+0200","santander188","0","21.03"
"2015-08-12T00:08:17+0200","santander188","0","21.09"
"2015-08-12T00:13:16+0200","santander188","0","20.96"
"2015-08-12T00:18:14+0200","santander188","0","20.96"
"2015-08-12T00:23:11+0200","santander188","0","20.9"
"2015-08-12T00:28:09+0200","santander188","0","21.03"
"2015-08-12T00:33:07+0200","santander188","0","20.96"
"2015-08-12T00:38:05+0200","santander188","0","20.9"
"2015-08-12T00:43:02+0200","santander188","0","20.9"
"2015-08-12T00:48:00+0200","santander188","0","20.7"
"2015-08-12T00:52:58+0200","santander188","0","20.83"
"2015-08-12T00:57:56+0200","santander188","0","20.96"
"2015-08-12T01:02:53+0200","santander188","0","20.96"
"2015-08-12T01:07:59+0200","santander188","0","20.96"
"2015-08-12T01:12:49+0200","santander188","0","20.96"
"2015-08-12T01:18:01+0200","santander188","0","20.83"
"2015-08-12T01:29:29+0200","santander188","0","20.77"
"2015-08-12T01:32:40+0200","santander188","0","20.64"
"2015-08-12T01:37:38+0200","santander188","0","20.7"
"2015-08-12T01:42:35+0200","santander188","0","20.83"
"2015-08-12T01:47:33+0200","santander188","0","20.77"
"2015-08-12T01:52:33+0200","santander188","0","20.77"
"2015-08-12T01:57:29+0200","santander188","0","20.7"
"2015-08-12T02:07:28+0200","santander188","0","20.64"
"2015-08-12T02:12:22+0200","santander188","0","20.58"
"2015-08-12T03:30:32+0200","santander188","0","19.87"
"2015-08-12T03:31:47+0200","santander188","0","19.67"
"2015-08-12T04:13:18+0200","santander188","0","19.03"
"2015-08-12T04:16:28+0200","santander188","0","19.09"
"2015-08-12T04:21:24+0200","santander188","0","18.64"
"2015-08-12T04:31:20+0200","santander188","0","18.77"
"2015-08-12T04:36:18+0200","santander188","0","18.7"
"2015-08-12T04:41:21+0200","santander188","0","18.77"
"2015-08-12T04:52:48+0200","santander188","0","18.7"
"2015-08-12T05:51:41+0200","santander188","0","18.06"
"2015-08-12T05:59:54+0200","santander188","0","18.12"
"2015-08-12T06:00:40+0200","santander188","0","18.06"
"2015-08-12T06:10:36+0200","santander188","0","18"
"2015-08-12T06:15:34+0200","santander188","0","18.06"
"2015-08-12T06:30:50+0200","santander188","0","17.8"
"2015-08-12T06:40:23+0200","santander188","0","17.8"
"2015-08-12T06:45:21+0200","santander188","0","18"
"2015-08-12T06:50:19+0200","santander188","0","18.06"
"2015-08-12T06:55:16+0200","santander188","0","18.06"
"2015-08-12T07:01:26+0200","santander188","0","18.06"
"2015-08-12T07:05:13+0200","santander188","0","17.74"
"2015-08-12T07:15:33+0200","santander188","0","17.74"
"2015-08-12T07:59:12+0200","santander188","0","18.12"
"2015-08-12T08:02:30+0200","santander188","0","18.38"
"2015-08-12T08:09:03+0200","santander188","0","18.38"
"2015-08-12T08:09:45+0200","santander188","0","18.58"
"2015-08-12T08:20:28+0200","santander188","0","18.7"
"2015-08-12T08:24:39+0200","santander188","0","18.83"
"2015-08-12T08:29:38+0200","santander188","0","18.9"
"2015-08-12T08:36:18+0200","santander188","0","19.16"
"2015-08-12T08:39:32+0200","santander188","0","19.22"
"2015-08-12T08:44:30+0200","santander188","0","19.61"
"2015-08-12T08:49:28+0200","santander188","0","19.67"
"2015-08-12T08:54:35+0200","santander188","0","20"
"2015-08-12T09:14:18+0200","santander188","0","20.25"
"2015-08-12T09:19:14+0200","santander188","0","20.45"
"2015-08-12T09:24:14+0200","santander188","0","20.64"
"2015-08-12T09:29:15+0200","santander188","0","20.32"
"2015-08-12T09:34:08+0200","santander188","0","20.51"
"2015-08-12T09:39:05+0200","santander188","0","20.51"
"2015-08-12T09:44:03+0200","santander188","0","20.64"
"2015-08-12T09:49:01+0200","santander188","0","20.96"
"2015-08-12T09:53:59+0200","santander188","0","20.83"
"2015-08-12T09:58:56+0200","santander188","0","21.03"
"2015-08-12T10:03:54+0200","santander188","0","21.41"
"2015-08-12T10:18:14+0200","santander188","0","22.25"
"2015-08-12T10:18:47+0200","santander188","0","24.12"
"2015-08-12T10:24:12+0200","santander188","0","25.48"
"2015-08-12T10:29:26+0200","santander188","0","22.12"
"2015-08-12T10:33:41+0200","santander188","0","21.93"
"2015-08-12T10:38:38+0200","santander188","0","21.93"
"2015-08-12T10:43:36+0200","santander188","0","21.93"
"2015-08-12T10:48:34+0200","santander188","0","23.22"
"2015-08-12T10:53:33+0200","santander188","0","23.22"
"2015-08-12T10:59:08+0200","santander188","0","22.9"
"2015-08-12T11:29:31+0200","santander188","0","23.48"
"2015-08-12T11:33:16+0200","santander188","0","22.9"
"2015-08-12T11:38:11+0200","santander188","0","24.77"
"2015-08-12T11:43:13+0200","santander188","0","25.09"
"2015-08-12T11:48:31+0200","santander188","0","24.51"
"2015-08-12T12:01:11+0200","santander188","0","25.16"
"2015-08-12T12:03:04+0200","santander188","0","24.83"
"2015-08-12T12:10:55+0200","santander188","0","24.45"
"2015-08-12T12:11:35+0200","santander188","0","23.87"
"2015-08-12T12:16:35+0200","santander188","0","24"
"2015-08-12T12:26:05+0200","santander188","0","24.12"
"2015-08-12T12:26:47+0200","santander188","0","24.19"
"2015-08-12T12:31:26+0200","santander188","0","24.51"
"2015-08-12T12:36:25+0200","santander188","0","24.45"
"2015-08-12T12:41:22+0200","santander188","0","24.06"
"2015-08-12T12:46:29+0200","santander188","0","23.48"
"2015-08-12T13:36:13+0200","santander188","0","25.41"
"2015-08-12T14:20:39+0200","santander188","0","23.29"
"2015-08-12T14:29:02+0200","santander188","0","24.38"
"2015-08-12T14:50:26+0200","santander188","0","23.22"
"2015-08-12T14:55:24+0200","santander188","0","23.41"
"2015-08-12T15:06:52+0200","santander188","0","22.77"
"2015-08-12T16:19:45+0200","santander188","0","23.29"
"2015-08-12T16:24:43+0200","santander188","0","23.03"
"2015-08-12T16:29:41+0200","santander188","0","22.9"
"2015-08-12T16:34:39+0200","santander188","0","22.9"
"2015-08-12T16:39:36+0200","santander188","0","22.32"
"2015-08-12T16:44:34+0200","santander188","0","22.7"
"2015-08-12T16:49:32+0200","santander188","0","23.87"
"2015-08-12T16:54:43+0200","santander188","0","23.22"
"2015-08-12T16:59:31+0200","santander188","0","23.61"
"2015-08-12T17:04:32+0200","santander188","0","23.74"
"2015-08-12T17:09:27+0200","santander188","0","24.25"
"2015-08-12T17:14:36+0200","santander188","0","23.35"
"2015-08-12T17:19:22+0200","santander188","0","23.29"
"2015-08-12T17:24:21+0200","santander188","0","23.16"
"2015-08-12T17:29:18+0200","santander188","0","23.87"
"2015-08-12T17:34:17+0200","santander188","0","24.12"
"2015-08-12T17:39:13+0200","santander188","0","23.41"
"2015-08-12T17:44:11+0200","santander188","0","23.48"
"2015-08-12T17:49:09+0200","santander188","0","23.29"
"2015-08-12T17:55:13+0200","santander188","0","23.54"
"2015-08-12T18:04:02+0200","santander188","0","23.61"
"2015-08-12T18:28:00+0200","santander188","0","23.03"
"2015-08-12T18:40:08+0200","santander188","0","22.96"
"2015-08-12T19:48:16+0200","santander188","0","22.19"
"2015-08-12T20:14:56+0200","santander188","0","21.61"
"2015-08-12T20:31:23+0200","santander188","0","21.29"
"2015-08-12T20:32:56+0200","santander188","0","21.22"
"2015-08-12T22:18:39+0200","santander188","0","21.29"
"2015-08-12T22:22:22+0200","santander188","0","21.41"
"2015-08-12T23:20:56+0200","santander188","0","20.51"
"2015-08-12T23:29:36+0200","santander188","0","20.51"
"2015-08-12T23:32:36+0200","santander188","0","20.32"
"2015-08-13T00:35:24+0200","santander188","0","19.35"
"2015-08-13T00:45:41+0200","santander188","0","19.54"
"2015-08-13T00:55:14+0200","santander188","0","19.67"
"2015-08-13T00:55:35+0200","santander188","0","19.74"
"2015-08-13T01:02:13+0200","santander188","0","19.67"
"2015-08-13T01:40:19+0200","santander188","0","19.74"
"2015-08-13T01:40:58+0200","santander188","0","19.67"
"2015-08-13T02:49:35+0200","santander188","0","20.25"
"2015-08-13T03:12:20+0200","santander188","0","20.25"
"2015-08-13T03:14:30+0200","santander188","0","20.32"
"2015-08-13T03:18:42+0200","santander188","0","20.32"
"2015-08-13T05:18:39+0200","santander188","0","20.06"
"2015-08-13T06:17:26+0200","santander188","0","20"
"2015-08-13T09:31:45+0200","santander188","0","17.48"
"2015-08-13T09:36:49+0200","santander188","0","17.41"
"2015-08-13T09:56:38+0200","santander188","0","17.74"
"2015-08-13T11:11:43+0200","santander188","0","20.9"
"2015-08-13T13:24:30+0200","santander188","0","22.58"
"2015-08-13T13:54:35+0200","santander188","0","25.09"
"2015-08-13T14:00:45+0200","santander188","0","23.87"
"2015-08-13T14:42:32+0200","santander188","0","22.25"
"2015-08-13T14:45:38+0200","santander188","0","20.32"
"2015-08-13T18:32:11+0200","santander188","0","20.45"
"2015-08-13T19:41:46+0200","santander188","0","19.41"
"2015-08-14T01:37:58+0200","santander188","0","17.74"
"2015-08-14T01:55:35+0200","santander188","0","17.8"
"2015-08-14T01:58:19+0200","santander188","0","17.8"
"2015-08-14T03:22:11+0200","santander188","0","17.41"
"2015-08-14T04:26:13+0200","santander188","0","16.45"
"2015-08-14T04:31:43+0200","santander188","0","17.09"
"2015-08-14T05:18:14+0200","santander188","0","17.09"
"2015-08-14T05:51:29+0200","santander188","0","17.09"
"2015-08-14T06:31:00+0200","santander188","0","16.9"
"2015-08-14T06:45:11+0200","santander188","0","17.09"
"2015-08-14T06:50:28+0200","santander188","0","17.09"
"2015-08-14T06:56:10+0200","santander188","0","17.09"
"2015-08-14T08:14:43+0200","santander188","0","18"
"2015-08-14T08:25:00+0200","santander188","0","18.06"
"2015-08-14T08:58:12+0200","santander188","0","18.19"
"2015-08-14T09:12:39+0200","santander188","0","18.32"
"2015-08-14T10:00:46+0200","santander188","0","18.51"
"2015-08-14T10:02:59+0200","santander188","0","19.35"
"2015-08-14T10:03:43+0200","santander188","0","19.16"
"2015-08-14T11:03:31+0200","santander188","0","19.93"
"2015-08-14T11:09:55+0200","santander188","0","19.67"
"2015-08-14T11:13:48+0200","santander188","0","19.35"
"2015-08-14T11:18:16+0200","santander188","0","20.9"
"2015-08-14T11:43:32+0200","santander188","0","20.38"
"2015-08-14T12:59:32+0200","santander188","0","21.61"
"2015-08-14T13:02:24+0200","santander188","0","22.51"
"2015-08-14T15:46:11+0200","santander188","0","21.74"
"2015-08-14T15:51:10+0200","santander188","0","22.12"
"2015-08-14T16:00:02+0200","santander188","0","22.7"
"2015-08-14T17:47:25+0200","santander188","0","19.93"
"2015-08-14T19:16:30+0200","santander188","0","19.87"
"2015-08-14T19:19:43+0200","santander188","0","20.12"
"2015-08-14T19:27:52+0200","santander188","0","20.25"
"2015-08-14T19:59:56+0200","santander188","0","19.29"
"2015-08-14T20:08:52+0200","santander188","0","19.03"
"2015-08-14T20:09:18+0200","santander188","0","18.96"
"2015-08-14T20:34:19+0200","santander188","0","18.7"
"2015-08-14T23:36:20+0200","santander188","0","16"
"2015-08-15T05:35:11+0200","santander188","0","16.45"
"2015-08-15T06:33:24+0200","santander188","0","16.64"
"2015-08-15T07:28:37+0200","santander188","0","16.12"
"2015-08-15T07:29:52+0200","santander188","0","16.12"
"2015-08-15T07:32:59+0200","santander188","0","15.87"
"2015-08-15T07:37:56+0200","santander188","0","15.74"
"2015-08-15T07:42:55+0200","santander188","0","15.74"
"2015-08-15T07:47:52+0200","santander188","0","15.35"
"2015-08-15T07:52:51+0200","santander188","0","15.16"
"2015-08-15T07:57:49+0200","santander188","0","15.16"
"2015-08-15T08:02:48+0200","santander188","0","15.16"
"2015-08-15T08:07:44+0200","santander188","0","15.41"
"2015-08-15T08:12:42+0200","santander188","0","15.48"
"2015-08-15T08:17:40+0200","santander188","0","15.48"
"2015-08-15T08:22:38+0200","santander188","0","15.61"
"2015-08-15T08:27:35+0200","santander188","0","15.67"
"2015-08-15T08:32:33+0200","santander188","0","15.8"
"2015-08-15T08:37:31+0200","santander188","0","15.87"
"2015-08-15T08:42:28+0200","santander188","0","16.32"
"2015-08-15T08:47:26+0200","santander188","0","16.45"
"2015-08-15T08:52:24+0200","santander188","0","16.45"
"2015-08-15T08:58:37+0200","santander188","0","16.45"
"2015-08-15T09:02:21+0200","santander188","0","16.38"
"2015-08-15T09:07:18+0200","santander188","0","16.45"
"2015-08-15T09:12:16+0200","santander188","0","16.58"
"2015-08-15T09:17:14+0200","santander188","0","16.77"
"2015-08-15T09:22:11+0200","santander188","0","16.77"
"2015-08-15T09:27:11+0200","santander188","0","16.77"
"2015-08-15T09:32:07+0200","santander188","0","16.77"
